,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
0,0,last night in soho,5,0,7,2
1,1,nope,0,7,6,1
2,2,men,5,1,0,3
3,3,crimes of the future,5,0,6,2
4,4,morbius,4,2,0,3
5,5,hocus pocus 2,6,6,1,4
6,6,watcher,5,0,2,0
7,7,the mist,0,5,2,1
8,8,hellboy,4,2,1,3
9,9,midsommar,5,0,7,2
10,10,old,5,0,7,2
11,11,mad god,2,1,0,3
12,12,scream,0,7,2,1
13,13,american psycho,3,3,0,3
14,14,hocus pocus,6,6,1,4
15,15,spree,4,4,3,4
16,16,resident evil: welcome to raccoon city,4,0,6,2
17,17,overlord,4,0,6,2
18,18,the mortal instruments: city of bones,4,2,1,3
19,19,it chapter two,5,1,0,3
20,20,the thing,0,7,6,1
21,21,get out,0,7,2,1
22,22,the munsters,6,6,1,4
23,23,fresh,6,0,2,0
24,24,hereditary,5,0,7,2
25,25,prey,4,3,0,3
26,26,fear street: 1994,5,0,7,2
27,27,sweeney todd: the demon barber of fleet street,5,0,5,2
28,28,the vvitch: a new-england folktale,5,1,4,0
29,29,fear street: 1978,5,0,7,2
30,30,vampires,4,0,2,0
31,31,constantine,4,1,0,3
32,32,sinister,0,7,2,1
33,33,a quiet place part ii,5,0,6,2
34,34,beast,1,3,0,3
35,35,doctor strange in the multiverse of madness,4,2,1,3
36,37,bodies bodies bodies,6,0,2,0
37,40,orphan: first kill,3,3,0,3
38,45,day shift,4,4,1,3
39,46,malnazidos,4,2,1,3
40,48,orphan,0,7,2,1
41,54,srpski film,0,7,2,1
42,64,resident evil,4,0,6,2
43,67,the conjuring,0,7,2,1
44,68,scream 6,0,7,2,1
45,69,us,0,7,2,1
46,71,alien: covenant,0,5,2,1
47,74,annihilation,1,3,0,3
48,75,the deadly mantis,7,0,6,2
